Zeit,Tempa,Tempb,Tempc,KMD1,KMD2,KMD1kompensiert,KMD2kompensiert,Temperatur aussen,EH11,EV12,EH21,EV22,EV32,EV33,W12,W22,VH31,W32,W11,W21,EH31,Zeit_timestamp,EH13,EH22,EH32,EH33,EV11,EV31,VH12,VH13,VH22,VH32,VH33,W13,W23,W33
2021-12-05,10.708265416666668,6.770512083333333,,,,,,2.194236111111111,-26.986970307345928,607.5798790380231,-703.5162745288667,-525.1693077553427,-720.6476663979665,-924.2897140426912,1237.2566721423386,-536.7683185550886,-1576.638041573296,-3671.3967455970524,-45.70033407522715,-157.18281753113888,-1153.458418382872,1638662400.0,,574.7719298245611,491.6447368421059,310.1315789473683,-308.9956140350878,352.16228070175384,-158.53070175438552,-342.24122807017557,-787.6535087719299,-1101.429824561404,373.83333333333394,-135.05263157894797,,465.1491228070172
2021-12-12,11.586697380952382,6.2206746428571424,,,,,,0.8875793650793652,-27.667777291472703,606.0937801888172,-703.0847543899781,-534.79085598947,-731.2350985011408,-936.8095250347542,931.0198665074178,-537.8142509360409,-1564.7079909780582,-3549.9598580970523,-54.90388810300465,-269.9439484239956,-1162.069829811444,1639267200.0,,554.1403508771928,505.2763157894742,312.34210526315746,-300.5219298245611,357.68859649122805,-147.8464912280706,-360.2938596491226,-790.2324561403507,-1091.8508771929824,387.83333333333394,-124.73684210526335,,473.2543859649122
2021-12-19,11.754283928571429,5.5205738095238095,,,,,,0.6590277777777778,-23.66610780734527,609.3840574904038,-701.2720893502956,-531.3733493624854,-726.0771873503472,-928.7458516617385,631.7118209518625,-535.3305883169933,-1599.247583954249,-3275.1610258351466,-39.66851306332228,-353.3380184239959,-1166.4199725495387,1639872000.0,,533.5087719298244,518.9078947368425,314.5526315789475,-292.0482456140344,363.21491228070136,-137.16228070175475,-378.34649122807014,-792.8114035087724,-1082.2719298245615,401.83333333333394,-114.42105263157919,,481.35964912280724
2021-12-26,11.700520000000001,5.3454619999999995,,,,,,-0.794951048951049,-22.45604299071738,610.3893001572928,-699.4627473822075,-526.9670940581791,-720.1232998773758,-922.3869609607173,692.0467178874823,-538.5990125411026,-1600.1847356339026,-3196.559758490992,-37.888438205957755,-449.24624990584744,-1167.7199364621265,1640476800.0,,520.3999999999996,518.937037037037,306.9351851851852,-314.65185185185146,357.26111111111095,-140.70740740740712,-432.4981481481482,-808.2222222222222,-1094.7259259259258,396.97407407407445,-117.6685185185188,536.5999999999999,478.53333333333376
2022-01-02,,,,,,,,,,,,,,,,,,,,,,1641081600.0,,509.1999999999998,515.5148148148155,296.8240740740739,-345.1407407407405,348.39444444444416,-147.86296296296314,-495.8092592592593,-826.8888888888891,-1112.7703703703705,387.3296296296303,-124.35740740740766,519.8000000000002,472.9333333333334
2022-01-09,,,,,,,,,,,,,,,,,,,,,,1641686400.0,,498.0,512.0925925925931,286.7129629629626,-375.62962962962956,339.5277777777774,-155.01851851851825,-559.1203703703704,-845.5555555555561,-1130.8148148148152,377.6851851851852,-131.04629629629653,503.0,467.33333333333303
2022-01-16,,,,,,,,,,,,,,,,,,,,,,1642291200.0,,486.7999999999993,508.6703703703706,276.6018518518522,-406.1185185185186,330.6611111111106,-162.17407407407427,-622.4314814814816,-864.2222222222222,-1148.859259259259,368.04074074074106,-137.73518518518495,486.1999999999998,461.7333333333336
2022-01-23,,,,,,,,,,,,,,,,,,,,,,1642896000.0,,475.59999999999945,505.2481481481482,266.4907407407409,-436.60740740740675,321.7944444444438,-169.32962962962938,-685.7425925925927,-882.8888888888891,-1166.9037037037037,358.3962962962969,-144.42407407407381,469.4000000000001,456.1333333333332
2022-01-30,,,,,,,,,,,,,,,,,,,,,,1643500800.0,,464.39999999999964,501.82592592592664,256.37962962962956,-467.0962962962958,312.9277777777779,-176.4851851851854,-749.0537037037038,-901.5555555555561,-1184.9481481481484,348.7518518518518,-151.11296296296268,452.5999999999999,450.53333333333376
2022-02-06,9.611843604651163,4.493088720930232,4.4374444186046516,,,,,4.011802325581395,-2.5941551200071444,643.0482006336301,-797.1887400359724,-816.7920612404846,-702.8130089819451,-920.5492917881693,1779.7268377495739,-648.1970065783448,-1361.5905729298856,-3439.5730583683726,-3.4712947761313444,-362.0620708547822,-1198.239958305353,1644105600.0,79.91666666666652,500.3888888888887,486.31944444444434,194.02777777777737,-685.25,268.1527777777774,-179.70833333333303,-844.1111111111113,-922.3750000000005,-1231.6388888888891,357.30555555555566,-157.48611111111086,442.8611111111113,422.45833333333303
2022-02-13,9.823790727272726,4.684621757575758,3.5009098787878785,96.28702684210526,79.47394850877193,60.086312280701755,42.29625859649123,3.1495886134067947,52.78757451129559,554.0342319760398,-810.3091248757446,-808.8042829419819,-699.310840785477,-1025.3965823718922,2217.919362169887,-658.0910277212961,-1422.3737766807344,-3687.2211187370885,2.0332944906590456,-521.955314829348,-1209.325126254314,1644710400.0,-516.6441441441443,563.4346846846847,477.6734234234236,123.77702702702663,-931.9662162162158,220.69144144144138,-174.90090090090052,-903.5382882882882,-857.630630630631,-1279.0112612612616,378.6036036036039,-157.42792792792852,453.20045045045026,389.2252252252256
2022-02-20,10.118520147058822,4.688978970588235,3.408149117647059,135.0779057352941,86.8900569117647,101.89420294117647,53.70635529411764,3.469558823529412,64.5422994148771,550.1240899530558,-799.6246475599128,-842.5113708027284,-687.4332989306458,-1061.3091142060894,2472.759869233842,-642.6434981139123,-1130.426434465454,-3990.7618377048966,19.77725426627603,-855.309355006629,-1206.351128578951,1645315200.0,-513.9954954954956,575.353603603603,495.26801801801867,131.15540540540496,-899.9932432432433,229.2049549549547,-168.84684684684726,-877.2409909909911,-707.7927927927926,-1280.3355855855857,382.3873873873881,-151.75225225225267,471.1734234234236,387.71171171171136
2022-02-27,,,,,,,,,,,,,,,,,,,,,,1645920000.0,-511.3468468468468,587.2725225225222,512.8626126126128,138.5337837837842,-868.02027027027,237.71846846846802,-162.79279279279308,-850.9436936936936,-557.9549549549552,-1281.6599099099099,386.1711711711714,-146.07657657657683,489.14639639639654,386.19819819819804
2022-03-06,,,,,,,,,,,,,,,,,,,,,,1646524800.0,-508.69819819819804,599.1914414414414,530.4572072072078,145.91216216216253,-836.0472972972966,246.23198198198133,-156.7387387387389,-824.6463963963965,-408.1171171171168,-1282.984234234234,389.9549549549556,-140.40090090090098,507.11936936936945,384.6846846846847
2022-03-13,9.608431333333334,5.816474518518518,6.700583407407407,-293.0741162222222,-276.23017037037033,-319.67294992592593,-302.8290044444444,6.39954582865694,100.6069240590964,626.4847525155765,-761.6547722152677,-834.9060440996186,-643.4943398547566,-1016.7795413934205,2551.993404127374,-601.6888945752908,-2330.1628304666747,-4140.457354203674,74.09883231618687,-627.7733773417449,-1147.5708673817498,1647129600.0,-506.04954954954974,611.1103603603597,548.051801801802,153.29054054054086,-804.0743243243242,254.74549549549556,-150.68468468468473,-798.349099099099,-258.2792792792793,-1284.308558558559,393.7387387387389,-134.72522522522513,525.0923423423424,383.1711711711714
2022-03-20,9.889429226190476,8.291515654761904,9.936934047619047,-563.1401581547619,-500.70565339285713,-583.2662908333334,-520.8317860714285,9.570386904761905,94.16722268868625,642.7852513396106,-785.4435415725179,-801.1745423783586,-641.4957426281244,-1011.8061748958653,2538.235823789164,-616.2695935550887,-2264.6411197875823,-3998.344765001817,69.63560441683649,-738.4465774716148,-1150.5116814185862,1647734400.0,-541.4299999999998,605.0699999999997,553.6866666666674,152.03333333333376,-795.6733333333332,253.73333333333267,-148.65999999999985,-752.1599999999999,-128.7800000000002,-1290.526666666667,393.5633333333335,-136.47666666666692,528.6766666666667,377.6933333333336
2022-03-27,9.996700297619046,8.884975535714286,10.932466011904761,-563.1230645238095,-500.74671178571424,-581.2581325,-518.8817791071428,10.062351190476189,91.0061132244,641.8427497324674,-788.291240858232,-624.424180295025,-640.5692781043153,-999.0104903720562,2523.9437427177354,-629.9076065312788,-2200.7373174661534,-3723.529674704194,57.03821513112234,-743.471258126377,-1149.6278308233486,1648339200.0,-706.9099999999999,537.5899999999992,518.4066666666668,121.23333333333358,-867.913333333333,220.1333333333332,-160.42000000000007,-637.9200000000001,-68.86000000000013,-1313.4866666666671,379.84333333333325,-163.63666666666677,483.03666666666686,358.65333333333365
2022-04-03,10.159537083333333,8.516919523809523,7.276282738095238,-563.1288972023809,-500.72342720238095,-588.5763324404762,-526.1708629166667,7.038779761904761,100.79070185535284,661.0729919348487,-783.8206950248982,-462.6285314259776,-628.2984903066963,-996.8371219196747,2481.973098789164,-624.9146209955652,-2263.321929192344,-3517.4271160732424,72.56075733350326,-796.8149097335197,-1145.8903929066819,1648944000.0,-872.3900000000003,470.1099999999997,483.126666666667,90.4333333333334,-940.1533333333327,186.53333333333285,-172.1800000000003,-523.6799999999998,-8.940000000000055,-1336.4466666666672,366.1233333333339,-190.79666666666662,437.39666666666653,339.6133333333337
2022-04-10,10.173194371257486,8.225613832335329,9.445556946107786,-563.1250985628742,-500.6987088622755,-584.233984491018,-521.8075953892215,9.028253493013972,98.96560971427834,655.242403377677,-800.4689915988938,-431.17622216236214,-638.9442548543866,-1004.5657322379666,2521.0891614770026,-630.5906178365253,-2170.492017661121,-3302.1835971289875,68.64633620005543,-799.7287232172666,-1154.9170112172037,1649548800.0,-1037.87,402.6300000000001,447.84666666666726,59.63333333333321,-1012.3933333333334,152.9333333333334,-183.9399999999996,-409.44000000000005,50.98000000000002,-1359.4066666666672,352.40333333333365,-217.95666666666648,391.75666666666666,320.5733333333337
2022-04-17,10.311275625,8.915293142857143,9.254532285714285,-563.1232214285715,-500.7366134285715,-584.6141571428572,-522.2275497142857,8.855857142857142,102.38453684344813,658.1502726967533,-796.3047502153745,-408.29228073550166,-633.3732565566961,-998.4906987649138,2520.0060937296403,-636.4432462693744,-2215.0641614780584,-3423.7700540494334,65.59992919064598,-792.0839910906625,-1144.8724584781107,1650153600.0,-1095.0,379.33333333333303,435.66666666666697,49.0,-1037.333333333333,141.33333333333303,-188.0,-370.0,71.66666666666652,-1367.3333333333335,347.66666666666697,-227.33333333333348,376.0,314.0
